chapter number,start segment,end segment,chapter title,summary
0,0,2,封面,《黑猩猩的政治弗朗斯·德瓦尔》是一本畅销四分之一个世纪的跨学科经典之作，揭示了黑猩猩群体中权力和性行为的竞争和联盟，洞悉了人类最基本的需求和行为。
0,3,3,封面,从阿纳姆的黑猩猩行为中可以看出马基雅维利的政治权谋，2007年被哈佛大学100位教授推荐为最具影响力的经典图书之一，揭示了政治的起源比人类更古老的结论。
0,0,3,封面,《黑猩猩的政治弗朗斯·德瓦尔》是一本揭示黑猩猩群体权力和性行为竞争与联盟的畅销经典，洞悉人类最基本需求和行为，2007年被哈佛大学100位教授推荐为最具影响力的经典图书之一。
1,4,4,第一部分 序言,"这是一篇关于社会发展的文章，讨论了社会发展的重要性及其对人类的影响。

社会发展对人类有重要影响，是推动人类进步的重要力量。"
1.0,5,6,《黑猩猩的政治》推荐序,弗朗斯·德瓦尔通过对黑猩猩的观察，写出了《黑猩猩的政治——猿类的权力与性》，读者在阅读中不由自主地发出会心的微笑。
1.0,7,9,《黑猩猩的政治》推荐序,动物行为学强调观察动物活动，德瓦尔的观察丰富而细腻，他书写的是1975-1979年间，围绕几个核心角色展开的黑猩猩历史。
1.0,10,11,《黑猩猩的政治》推荐序,大妈妈、几位强壮的雄性，以及德瓦尔的研究，构成了一段具有惟一性的历史，将历史方法引入到黑猩猩的研究，使其成为黑猩猩的历史学和人类学，以及黑猩猩的社会学。
1.0,12,13,《黑猩猩的政治》推荐序,通过观察，德瓦尔发现黑猩猩们几乎生活在一个孤岛上，游客只能在20米之外隔河而望，登上瞭望塔可以近距离观察，但有6米的距离，并且隔着厚厚的玻璃。德瓦尔观察黑猩猩，尽可能接近自然条件，让人们对黑猩猩产生感情，并为他们的生活和命运而唏嘘感慨。
1.0,14,15,《黑猩猩的政治》推荐序,"人类强行放在一起的黑猩猩群落经过几代繁殖形成准自然群落，但与野生黑猩猩最大的差别是，他们不用花时间觅食，可以把全部时间用来从事""精神性的""活动，从而强化社会生活。"
1.0,16,17,《黑猩猩的政治》推荐序,黑猩猩在有限空间中相处，可能会从野蛮暴力走向文明和平，学会妥协和分享，实现和平的愿望。
1.0,18,19,《黑猩猩的政治》推荐序,动物本性是否贪婪自私，还是能从事艺术活动？这个问题一直困扰着作者。
1.0,20,21,《黑猩猩的政治》推荐序,"""

德瓦尔的观察表明，黑猩猩有强烈的和平渴望，会克制暴力，并对妇女和孩子表现出宽容和关爱。冲突过后，它们会迅速寻求和解，互相拥抱和亲吻，并互相帮助护理毛皮。"
